"ANO";"TIPO_ABOVIROSE";"SUPERINTENDENCIA";"ADS";"MUNICÍPIO";"DATA_EPIDEMIOLOGICA";"SEMANA_EPIDEMIOLOGICA";"DENGUE_GRAVE";"CURA";"OBITO";"OBITO_INVESTIGACAO";"CONFIRMADO_AMBULATORIAL";"CONFIRMADO_CLINICO"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"MASSAPE";"2022-06-04";"22";"0";"3";"0";"0";"1";"0"
"2022";"Dengue";"CARIRI";"19ª REGIÃO BREJO SANTO";"MILAGRES";"2022-12-31";"52";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"LITORAL LESTE/JAGUARIBE";"10ª REGIÃO LIMOEIRO DO NORTE";"IRACEMA";"2022-06-25";"25";"0";"7";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"15ª REGIÃO CRATEÚS";"MONSENHOR TABOSA";"2022-10-29";"43";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"CARIRI";"18ª REGIÃO IGUATU";"QUIXELO";"2022-10-22";"42";"0";"2";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"12ª REGIÃO ACARAÚ";"ITAREMA";"2022-07-02";"26";"0";"10";"0";"0";"4";"1"
"2022";"Dengue";"FORTALEZA";"04ª REGIÃO BATURITÉ";"GUARAMIRANGA";"2022-04-09";"14";"0";"5";"0";"0";"2";"0"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"VARJOTA";"2022-04-16";"15";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"02ª REGIÃO CAUCAIA";"GENERAL SAMPAIO";"2022-04-16";"15";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"SERTÃO CENTRAL";"14ª REGIÃO TAUÁ";"AIUABA";"2022-06-25";"25";"0";"2";"0";"0";"0";"2"
"2022";"Dengue";"LITORAL LESTE/JAGUARIBE";"09ª REGIÃO RUSSAS";"PALHANO";"2022-08-06";"31";"0";"2";"0";"0";"0";"0"
"2022";"Dengue";"CARIRI";"18ª REGIÃO IGUATU";"JUCAS";"2022-02-26";"8";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"MUCAMBO";"2022-09-10";"36";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"CARIRI";"20ª REGIÃO CRATO";"ANTONINA DO NORTE";"2022-11-26";"47";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"04ª REGIÃO BATURITÉ";"BATURITE";"2022-06-18";"24";"0";"8";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"02ª REGIÃO CAUCAIA";"SAO LUIS DO CURU";"2022-03-19";"11";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"02ª REGIÃO CAUCAIA";"PARAIPABA";"2022-11-05";"44";"0";"1";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"12ª REGIÃO ACARAÚ";"MORRINHOS";"2022-04-02";"13";"0";"0";"0";"0";"0";"0"
